"REF_DATE","GEO","DGUID","Field of study","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019/2020","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","12250","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","14250","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Medicine","Current dollars","75","units","0","v62427162","2.13","14250","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2550","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2640","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2626","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2616","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Nursing","Current dollars","75","units","0","v62427163","2.14","2616","","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2805","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2805","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2805","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2843","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2870","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2839","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Pharmacy","Current dollars","75","units","0","v62427164","2.15","2839","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073541823","2.16","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073541823","2.16","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073541823","2.16","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Veterinary medicine","Current dollars","75","units","0","v1073541823","2.16","","..","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Optometry","Current dollars","75","units","0","v1073541824","2.20","","..","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Optometry","Current dollars","75","units","0","v1073541824","2.20","","..","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Optometry","Current dollars","75","units","0","v1073541824","2.20","","..","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Optometry","Current dollars","75","units","0","v1073541824","2.20","","..","","","0"
"2012/2013","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2550","","","","0"
"2013/2014","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2550","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2550","","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2550","","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2694","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2682","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2629","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Other health, parks, recreation and fitness","Current dollars","75","units","0","v62427165","2.17","2629","","","","0"
"2014/2015","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","","..","","","0"
"2015/2016","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","","..","","","0"
"2016/2017","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","2550","","","","0"
"2017/2018","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","2550","","","","0"
"2018/2019","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","2634","","","","0"
"2019/2020","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","2603","","","","0"
"2020/2021","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","2589","","","","0"
"2021/2022","Newfoundland and Labrador","2016A000210","Personal, protective and transportation services","Current dollars","75","units","0","v114648200","2.18","2589","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","5474","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","5688","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","5849","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","6130","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","6310","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","6485","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","6632","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","6748","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","6881","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Total, field of study","Current dollars","75","units","0","v1001414657","3.19","6954","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","5150","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","5360","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","5520","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","7522","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","7673","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","8031","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","8191","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","8360","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","8524","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Education","Current dollars","75","units","0","v62427173","3.1","8604","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","5150","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","5360","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","5520","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","5690","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","5860","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","6030","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","6150","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","6270","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","6390","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Visual and performing arts, and communications technologies","Current dollars","75","units","0","v62427180","3.2","6450","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","5150","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","5360","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","5520","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","5690","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","5860","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","6030","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","6150","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","6270","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","6390","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Humanities","Current dollars","75","units","0","v62427181","3.3","6450","","","","0"
"2012/2013","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","5150","","","","0"
"2013/2014","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","5360","","","","0"
"2014/2015","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","5520","","","","0"
"2015/2016","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","5690","","","","0"
"2016/2017","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","5860","","","","0"
"2017/2018","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","6030","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","6150","","","","0"
"2019/2020","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","6270","","","","0"
"2020/2021","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","6390","","","","0"
"2021/2022","Prince Edward Island","2016A000211","Social and behavioural sciences, and legal studies","Current dollars","75","units","0","v62427182","3.4","6450","","","","0"
"2018/2019","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073541825","3.5","","..","","","0"
"2019/2020","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073541825","3.5","","..","","","0"
"2020/2021","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073541825","3.5","","..","","","0"
"2021/2022","Prince Edward Island","2016A000211","Law","Current dollars","75","units","0","v1073541825","3.5","","..","","","0"
